id_dialogue,id_character,id_scene,id_place,sentiment_afinn,dialogue_length,love_count,inserted_at,updated_at
1,4,1,8,,10,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
2,7,1,8,,9,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
3,4,1,8,,9,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
4,7,1,8,,3,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
5,4,1,8,,4,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
6,7,1,8,,14,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
7,4,1,8,,9,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
8,5,1,8,,5,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
9,4,1,8,,5,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
10,5,1,8,,22,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
11,7,1,8,,27,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
12,4,1,8,,5,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
13,7,1,8,,18,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
14,4,1,8,,14,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
15,4,1,8,,9,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
16,4,1,8,,3,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
17,32,2,8,,5,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
18,31,2,8,,8,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
19,32,2,8,,7,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
20,21,2,8,,3,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
21,32,2,8,,13,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
22,1,2,8,,3,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
23,32,2,8,,11,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
24,21,2,8,,6,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
25,1,2,8,,3,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
26,32,2,8,,4,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
27,31,2,8,,4,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
28,21,2,8,,4,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
29,31,2,8,,9,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
30,21,2,8,,14,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
31,31,2,8,,7,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
32,32,2,8,,28,0,2025-05-13 19:26:19.339761,2025-05-13 19:26:19.339761
