movie,character,screen_time
Harry Potter and the Sorcerer's Stone,Harry Potter ,72:45:00
Harry Potter and the Sorcerer's Stone,Ron Weasley ,28:15:00
Harry Potter and the Sorcerer's Stone,Hermione Granger ,23:15
Harry Potter and the Sorcerer's Stone,Rubeus Hagrid ,16:30
Harry Potter and the Sorcerer's Stone,Professor Albus Dumbledore ,9:45
Harry Potter and the Sorcerer's Stone,Professor Minerva McGonagall ,7:30
Harry Potter and the Sorcerer's Stone,Professor Quirinus Quirrell ,7
Harry Potter and the Sorcerer's Stone,Draco Malfoy ,4:15
Harry Potter and the Sorcerer's Stone,Professor Severus Snape ,4
Harry Potter and the Sorcerer's Stone,Vernon Dursley ,4
Harry Potter and the Sorcerer's Stone,Neville Longbottom ,3:15
Harry Potter and the Sorcerer's Stone,Petunia Dursley ,3
Harry Potter and the Sorcerer's Stone,Mr. Ollivander ,3
Harry Potter and the Sorcerer's Stone,Dudley Dursley ,2:45
Harry Potter and the Sorcerer's Stone,Oliver Wood ,2:45
Harry Potter and the Sorcerer's Stone,Voldemort ,2
Harry Potter and the Sorcerer's Stone,The Sorting Hat ,2
Harry Potter and the Sorcerer's Stone,Hedwig ,1:45
Harry Potter and the Sorcerer's Stone,Madame Hooch ,1:45
Harry Potter and the Sorcerer's Stone,Percy Weasley ,1:45
Harry Potter and the Sorcerer's Stone,Seamus Finnigan ,1:45
Harry Potter and the Sorcerer's Stone,Fred Weasley ,1:30
Harry Potter and the Sorcerer's Stone,George Weasley ,1:30
Harry Potter and the Sorcerer's Stone,Firenze ,1:30
Harry Potter and the Sorcerer's Stone,Dean Thomas ,1:15
Harry Potter and the Sorcerer's Stone,Argus Filch ,1:15
Harry Potter and the Sorcerer's Stone,Lily Potter ,1:15
Harry Potter and the Sorcerer's Stone,James Potter ,1
Harry Potter and the Sorcerer's Stone,Professor Filius Flitwick ,1
Harry Potter and the Sorcerer's Stone,Fang ,1
Harry Potter and the Sorcerer's Stone,"Sir Nicholas ""Nearly-Headless Nick"" ",:45
Harry Potter and the Sorcerer's Stone,Griphook ,:45
Harry Potter and the Sorcerer's Stone,Lee Jordan ,:45
Harry Potter and the Sorcerer's Stone,Marcus Flint ,:45
Harry Potter and the Sorcerer's Stone,Alicia Spinnet ,:45
Harry Potter and the Sorcerer's Stone,Vincent Crabbe ,:45
Harry Potter and the Sorcerer's Stone,Gregory Goyle ,:45
Harry Potter and the Sorcerer's Stone,Angelina Johnson ,:30
Harry Potter and the Sorcerer's Stone,Katie Bell ,:30
Harry Potter and the Sorcerer's Stone,Molly Weasley ,:30
Harry Potter and the Sorcerer's Stone,Ginny Weasley ,:15
Harry Potter and the Sorcerer's Stone,Fat Lady ,:15
Harry Potter and the Sorcerer's Stone,Scabbers / Peter Pettigrew ,:15
Harry Potter and the Chamber of Secrets,Harry Potter ,83:45:00
Harry Potter and the Chamber of Secrets,Ron Weasley ,38:15:00
Harry Potter and the Chamber of Secrets,Hermione Granger ,15:30
Harry Potter and the Chamber of Secrets,Professor Albus Dumbledore ,10:45
Harry Potter and the Chamber of Secrets,Professor Gilderoy Lockhart ,10:30
Harry Potter and the Chamber of Secrets,Rubeus Hagrid ,8:15
Harry Potter and the Chamber of Secrets,Dobby ,7:30
Harry Potter and the Chamber of Secrets,Draco Malfoy ,7
Harry Potter and the Chamber of Secrets,Tom Riddle / Voldemort ,6:45
Harry Potter and the Chamber of Secrets,Lucius Malfoy ,6:45
Harry Potter and the Chamber of Secrets,Professor Minerva McGonagall ,5:45
Harry Potter and the Chamber of Secrets,Ginny Weasley ,4:45
Harry Potter and the Chamber of Secrets,Professor Severus Snape ,4:30
Harry Potter and the Chamber of Secrets,Arthur Weasley ,2:30
Harry Potter and the Chamber of Secrets,Cornelius Fudge ,2:30
Harry Potter and the Chamber of Secrets,Vernon Dursley ,2:30
Harry Potter and the Chamber of Secrets,Fred Weasley ,2:30
Harry Potter and the Chamber of Secrets,George Weasley ,2:30
Harry Potter and the Chamber of Secrets,Fawkes ,2:30
Harry Potter and the Chamber of Secrets,Molly Weasley ,2:15
Harry Potter and the Chamber of Secrets,Oliver Wood ,1:45
Harry Potter and the Chamber of Secrets,Argus Filch ,1:45
Harry Potter and the Chamber of Secrets,Hedwig ,1:45
Harry Potter and the Chamber of Secrets,Moaning Myrtle ,1:30
Harry Potter and the Chamber of Secrets,Petunia Dursley ,1:30
Harry Potter and the Chamber of Secrets,Professor Pomona Sprout ,1:30
Harry Potter and the Chamber of Secrets,Percy Weasley ,1:30
Harry Potter and the Chamber of Secrets,Fang ,1:30
Harry Potter and the Chamber of Secrets,Colin Creevy ,1:15
Harry Potter and the Chamber of Secrets,Dudley Dursley ,1:15
Harry Potter and the Chamber of Secrets,Neville Longbottom ,1:15
Harry Potter and the Chamber of Secrets,Madame Poppy Pomfrey ,1:15
Harry Potter and the Chamber of Secrets,Vincent Crabbe ,1:15
Harry Potter and the Chamber of Secrets,Gregory Goyle ,1:15
Harry Potter and the Chamber of Secrets,Dean Thomas ,1
Harry Potter and the Chamber of Secrets,Seamus Finnigan ,1
Harry Potter and the Chamber of Secrets,Aragog ,1
Harry Potter and the Chamber of Secrets,Marcus Flint ,1
Harry Potter and the Chamber of Secrets,The Sorting Hat ,0:45
Harry Potter and the Chamber of Secrets,Justin Finch-Fletchley ,0:45
Harry Potter and the Chamber of Secrets,"Sir Nicholas ""Nearly-Headless Nick"" ",0:45
Harry Potter and the Chamber of Secrets,Angelina Johnson ,0:30
Harry Potter and the Chamber of Secrets,Alicia Spinnet ,0:30
Harry Potter and the Chamber of Secrets,Katie Bell ,0:30
Harry Potter and the Chamber of Secrets,Scabbers / Peter Pettigrew ,0:30
Harry Potter and the Chamber of Secrets,Professor Filius Flitwick ,0:15
Harry Potter and the Chamber of Secrets,Lee Jordan ,0:15
Harry Potter and the Chamber of Secrets,Lily Potter ,
Harry Potter and the Chamber of Secrets,James Potter ,
Harry Potter and the Prisoner of Azkaban,Harry Potter ,74:30:00
Harry Potter and the Prisoner of Azkaban,Hermione Granger ,34:45:00
Harry Potter and the Prisoner of Azkaban,Ron Weasley ,21:15
Harry Potter and the Prisoner of Azkaban,Professor Remus Lupin ,19:15
Harry Potter and the Prisoner of Azkaban,Sirius Black ,11:30
Harry Potter and the Prisoner of Azkaban,Buckbeak ,7:45
Harry Potter and the Prisoner of Azkaban,Professor Albus Dumbledore ,6:15
Harry Potter and the Prisoner of Azkaban,Professor Severus Snape ,5:45
